Images Database,A.Hashing,P.Hashing,D.Hashing,W.Hashing,CPR Hash 01,CPR Hash 02,CPR Hash 03,CPR Hash 04,CPR Hash 05,CPR Hash 06,CPR Hash 07,CPR Hash 08,CPR Hash 09,CPR Hash 10
Fig01_WashingtonDC_Band1,000e0f1f7e7f7ff1,891166c1cfac27f3,d3d85833daeab5a9,000e0f1f7e7b5a71,2ece96bbb3c79294,d3d85833daeab5a9,????????????????,????????????????,????????????????,????????????????,????????????????,????????????????,????????????????,????????????????
Fig02_WashingtonDC_Band2,000e0f1f3f7f5ff5,891166c1eeac27f3,d6d85a73f8a2b5a9,000e0f1f3e7b5b71,99b9e4cca1582d3b,d6d85a73f8a2b5a9,################,################,################,################,################,################,################,################
Fig03_WashingtonDC_Band3,000e0f1f3e7f5ff1,891166c1ceac67f3,d7d85a73f8a2b5a9,000a0f1f7e7b5af1,aece9f29b3e5d190,d7d85a73f8a2b5a9,################,################,################,################,################,################,################,################
Fig04_WashingtonDC_Band4,f6f7b5c281a7a7a7,b3cc932430f7a68d,2cad290c0f4f494d,ff5791c301438787,2cad290c0f4f494d,264d0f5bcf4e8a0f,################,################,################,################,################,################,################,################
Fig05_WashingtonDC_Band5,060e0f1f2f67e7e7,b31c6264b8bca6d9,44dc79395bca8949,06060f0f2b63cfe7,5c28b5f5a796b5b3,9c8c27b4ce6a5a4c,6bee2d3c6ca5c524,d55c1ed4c6d5c996,0371d55415137765,1e8b346ecc971327,################,################,################,################
Fig06_WashingtonDC_Band6,000c0f1dfe7c7af1,931966c1f88c2ef3,d7d858315aeaa0a9,000e0e1dfe7c7af1,6d256a6a68f179b0,bfa7ef4d1d8dc331,31e199aa30707171,7928bedb7282caac,d6d8d3d4b3336226,3b3170d6bc25656c,9632b898cd787c66,c3f3e7c4b9bdf39b,d7d858315aeaa0a9,e781c1d1110d2131
Fig07_WashingtonDC_Band7,000e0f1f7f676fe5,931d6641fa8c66d9,d6d85833daea88a9,000e0f1f6f734be5,c8c9c89860ccf064,723075b13a3e9e5a,4eaefe9f9498d3ca,a4a16ce6e0a39296,d6d85833daea88a9,################,################,################,################,################
