Images Database;A. Hash Hamming;P. Hash Hamming;D. Hash Hamming;W. Hash Hamming;CP Hash Hamming
Fig01_WashingtonDC_Band1;0;0;0;0;0
Fig02_WashingtonDC_Band2;4;2;7;2;15.1
Fig03_WashingtonDC_Band3;2;2;7;2;14.4
Fig04_WashingtonDC_Band4;16;16;16;16;15.9
Fig05_WashingtonDC_Band5;9;13;12;11;15.9
Fig06_WashingtonDC_Band6;5;7;5;6;16
Fig07_WashingtonDC_Band7;6;11;3;7;15.6
