Images Database,Hash MD5,Hash Sha1,Hash Sha256
Fig01_WashingtonDC_Band1,94139d291cb305c2390ddcab7c9d2fa1,ccac4cba2282e1909064fc313dd46ee08e3b1c74,3cc787687290075324fef8de09a33883475cdd604f69396d6159f10304d15a72
Fig02_WashingtonDC_Band2,ef393bc1eac1173314eedd0decaf1068,a8355104295ee97350cf88ecdc09a4be2ad274ea,fe093336dcb404bdbf7ca15fcf02b406a532f87e49c05f3e8eaea916928afceb
Fig03_WashingtonDC_Band3,71ecf839a3a27304cd24640d6671d210,d581823709a13971136e7bd74a586c1ef521fef8,628a5d9cce5727918861e29c60e444a715f383602d57e0c12629a163ff1f188f
Fig04_WashingtonDC_Band4,86170356a3403e96fbcccba6bb65db4f,752d437478fa7f12ab6f0d148809ed1ac879957b,2d3fd9ed16b4bc15d60fe93ce3c89f5693d6df2e021c277726d48f15b9169d74
Fig05_WashingtonDC_Band5,4a983d76d8695da04e1c038c634af10e,2177718103ea9897aebe60f6720087b13c78e067,1d23130a41ce7d14ab49a62b1d5e84c5a772e881aabdb81cd97180a4e7a514d9
Fig06_WashingtonDC_Band6,161fe76d12647e0c2c63f36f0fce2117,916f1a2efe4272573d3c4cdea4a41ca772c2028c,3350caaf646ae1e72f180e14444f682083a281dc2e8977c98216cc341c6c9a86
Fig07_WashingtonDC_Band7,c4fbbafff53b5d674bff2c8aaf32e51f,64a13ad74e7c74a368b6302d127c0a1b09a15204,f4141b394563b9166ffe998ff404cf5375141b8091185c21a4e005bb9aefec52
